Sen Dai Sushi,http://www.yelp.com/biz/sen-dai-sushi-milpitas,1,20,Sen Dai Sushi,japanese
So Gong Dong Tofu House,http://www.yelp.com/biz/so-gong-dong-tofu-house-milpitas,1,20,So Gong Dong Tofu House,korean
Jang Su Jang,http://www.yelp.com/biz/jang-su-jang-milpitas-3,1,20,Jang Su Jang,korean
Taiwan Cafe,http://www.yelp.com/biz/taiwan-cafe-milpitas-2,5,20,Taiwan Cafe,taiwanese
Koong's,http://www.yelp.com/biz/koongs-milpitas,5,20,Koong's,chinese
Shabu House,http://www.yelp.com/biz/shabu-house-milpitas-2,1,20,Shabu House,japanese
Taste Good Beijing Cuisine,http://www.yelp.com/biz/taste-good-beijing-cuisine-milpitas,20,20,京味轩,chinese
Uotomo Sushi,http://www.yelp.com/biz/uotomo-sushi-milpitas,1,20,Uotomo Sushi,japanese
Pepper Lunch USA,http://www.yelp.com/biz/pepper-lunch-usa-milpitas,1,20,Pepper Lunch USA,japanese
China Rose,http://www.yelp.com/biz/china-rose-milpitas,5,20,China Rose,chinese
Sushi Maru,http://www.yelp.com/biz/sushi-maru-milpitas,1,20,Sushi Maru,japanese
Chili Palace,http://www.yelp.com/biz/chili-palace-milpitas,7,20,Chili Palace,chinese
Bao Little Hotpot,http://www.yelp.com/biz/bao-little-hotpot-milpitas,5,20,Bao Little Hotpot,chinese
Chili Garden Restaurant,http://www.yelp.com/biz/chili-garden-restaurant-milpitas,12,20,山城私房菜,szechuan
Shanghai Family Cuisine,http://www.yelp.com/biz/shanghai-family-cuisine-milpitas,8,20,Shanghai Family Cuisine,chinese
QQ Noodle,http://www.yelp.com/biz/qq-noodle-milpitas,20,20,三好拉面,chinese
Bamboo Korean BBQ House,http://www.yelp.com/biz/bamboo-korean-bbq-house-milpitas,1,20,Bamboo Korean BBQ House,korean
Sizzling Stone,http://www.yelp.com/biz/sizzling-stone-milpitas,1,20,Sizzling Stone,korean
Nutrition House,http://www.yelp.com/biz/nutrition-house-milpitas,6,20,Nutrition House,chinese
The Porridge - Mei Garden,http://www.yelp.com/biz/the-porridge-mei-garden-milpitas,8,20,The Porridge - Mei Garden,chinese
Maruichi,http://www.yelp.com/biz/maruichi-milpitas-2,7,20,Maruichi,japanese
Golden Garlic,http://www.yelp.com/biz/golden-garlic-san-jose,7,20,Golden Garlic,chinese
Won Kee Seafood,http://www.yelp.com/biz/won-kee-seafood-milpitas,3,20,Won Kee Seafood,cantonese
My Dumplings,http://www.yelp.com/biz/my-dumplings-milpitas,20,10,My Dumplings,chinese
King Chicken Wing,http://www.yelp.com/biz/king-chicken-wing-milpitas,1,20,King Chicken Wing,chinese
Kang Nam Tofu House,http://www.yelp.com/biz/kang-nam-tofu-house-milpitas,1,20,Kang Nam Tofu House,korean
Shanghai Delight,http://www.yelp.com/biz/shanghai-delight-milpitas,20,10,Shanghai Delight,shanghainese
Sushi Kai,http://www.yelp.com/biz/sushi-kai-milpitas-2,2,20,Sushi Kai,japanese
South Legend Sichuan Restaurant,http://www.yelp.com/biz/south-legend-sichuan-restaurant-milpitas,7,20,South Legend Sichuan Restaurant,chinese
Pho Saigon Noodle House,http://www.yelp.com/biz/pho-saigon-noodle-house-milpitas,3,20,Pho Saigon Noodle House,chinese
Korea Garden,http://www.yelp.com/biz/korea-garden-milpitas,1,20,Korea Garden,korean
Hot Pot City,http://www.yelp.com/biz/hot-pot-city-milpitas,5,20,Hot Pot City,chinese
New Hwong Kok,http://www.yelp.com/biz/new-hwong-kok-milpitas,5,20,New Hwong Kok,dim sum
Liang's Kitchen,http://www.yelp.com/biz/liangs-kitchen-milpitas,6,20,Liang's Kitchen,taiwanese
Chi,http://www.yelp.com/biz/chi-milpitas-2,7,20,Chi,taiwanese
JX Cuisine,http://www.yelp.com/biz/jx-cuisine-santa-clara,15,20,川鲁人家,chinese
Chef Zhao Bistro,http://www.yelp.com/biz/chef-zhao-bistro-mountain-view,15,20,老赵川菜,chinese
Misoya,http://www.yelp.com/biz/misoya-santa-clara-2?osq=miso,8,20,Misoya,japanese
Santouka,http://www.yelp.com/biz/santouka-san-jose-2,8,20,Santouka,japanese
